,2017,2018,2019
United States,52118,54606,56490
,,,
Alabama,41030,42710,44145
Autauga,41101,42504,43917
Baldwin,44566,46205,47485
Barbour,33318,35067,35763
Bibb,29386,30559,31725
Blount,34317,35671,36412
Bullock,26906,27891,29080
Butler,35803,36783,37523
Calhoun,35927,36988,38394
Chambers,32940,34395,35900
Cherokee,34625,36037,36432
Chilton,33863,35053,36188
Choctaw,37444,38896,40145
Clarke,35419,36336,37965
Clay,32492,33613,34322
Cleburne,35457,36243,35791
Coffee,41205,42863,43979
Colbert,37371,38319,39679
Conecuh,31957,33563,34892
Coosa,30294,31343,32523
Covington,35098,36171,36756
Crenshaw,35868,36875,37118
Cullman,38513,40016,40818
Dale,35809,37063,37853
Dallas,34734,36175,38362
DeKalb,31520,32642,33242
Elmore,41376,42705,44316
Escambia,32114,32997,34432
Etowah,36064,37245,38326
Fayette,33769,35041,36465
Franklin,33038,34714,35292
Geneva,34331,35525,36848
Greene,31790,31760,33386
Hale,35842,36586,38207
Henry,40915,42439,43502
Houston,41340,43216,44647
Jackson,35967,37162,38315
Jefferson,52923,55570,57329
Lamar,32665,33804,35148
Lauderdale,36093,37487,38758
Lawrence,32819,34084,35039
Lee,36845,38378,39781
Limestone,41192,43286,44946
Lowndes,39023,39796,40785
Macon,31821,33336,34901
Madison,49711,52011,54010
Marengo,37667,40209,41567
Marion,32089,33189,34000
Marshall,35003,36243,37345
Mobile,37390,38791,40112
Monroe,32780,33595,35174
Montgomery,42732,43969,45479
Morgan,38631,40223,41741
Perry,31671,31821,33529
Pickens,32144,33087,33890
Pike,36445,37543,38473
Randolph,32481,33441,33804
Russell,32572,32655,33986
St. Clair,37413,39329,40766
Shelby,52454,54963,56830
Sumter,31228,31679,33009
Talladega,33624,34709,36125
Tallapoosa,39440,40957,42509
Tuscaloosa,37824,39334,40648
Walker,39318,41144,42477
Washington,35542,36641,37837
Wilcox,32188,33406,34903
Winston,33585,34515,35776
,,,
Alaska,57394,60355,62806
Aleutians East Borough,58601,57050,62537
Aleutians West Census Area,53225,56288,58008
Anchorage Municipality,63802,67282,70145
Bethel Census Area,42572,45242,46348
Bristol Bay Borough,126290,142617,151900
Denali Borough,78395,84613,84166
Dillingham Census Area,58180,59907,61922
Fairbanks North Star Borough,54612,57720,59958
Haines Borough,62977,71435,71711
Hoonah-Angoon Census Area,59937,62178,64905
Juneau City and Borough,67154,71128,73335
Kenai Peninsula Borough,50150,52582,54870
Ketchikan Gateway Borough,66150,68941,70985
Kodiak Island Borough,61147,62769,66382
Kusilvak Census Area,29870,30660,31944
Lake and Peninsula Borough,61344,66991,65898
Matanuska-Susitna Borough,44684,47026,48943
Nome Census Area,49700,51866,54272
North Slope Borough,84892,83724,89863
Northwest Arctic Borough,44909,49447,51526
Petersburg Borough,66506,71510,74021
Prince of Wales-Hyder Census Area,42263,45784,49177
Sitka City and Borough,68506,71315,74440
Skagway Municipality,77243,82671,86519
Southeast Fairbanks Census Area,47918,50475,52458
Valdez-Cordova Census Area,60013,61921,64202
Wrangell City and Borough,45530,48809,49549
Yakutat City and Borough,56701,60309,66967
Yukon-Koyukuk Census Area,54980,58274,60579
,,,
Arizona,42590,44597,46058
Apache,32842,34265,35189
Cochise,39060,39911,41766
Coconino,46824,48870,49189
Gila,38777,39929,41217
Graham,30142,31195,31895
Greenlee,36846,40342,42296
La Paz,31230,32268,34006
Maricopa,45765,48113,49704
Mohave,32030,33354,34393
Navajo,30985,32126,33268
Pima,42245,44015,45456
Pinal,29910,31030,32182
Santa Cruz,37116,37954,39427
Yavapai,38661,40435,41393
Yuma,33969,35012,36570
,,,
Arkansas,41657,43325,44629
Arkansas,44286,45471,47899
Ashley,34610,36040,37944
Baxter,35798,36582,37749
Benton,84181,92342,92697
Boone,34130,35628,36414
Bradley,37412,38859,39980
Calhoun,33198,34026,35686
Carroll,32472,33251,33021
Chicot,36670,37601,40389
Clark,34639,35399,36832
Clay,34434,35399,36459
Cleburne,36731,37731,38942
Cleveland,38334,40595,39847
Columbia,36803,36517,37456
Conway,36880,38214,38892
Craighead,36472,37218,38669
Crawford,31899,32620,33904
Crittenden,36282,37289,39041
Cross,35743,35462,38693
Dallas,33577,34911,37101
Desha,37550,38151,40943
Drew,35807,36305,37742
Faulkner,36406,37702,38949
Franklin,32342,33210,33404
Fulton,27018,28005,29020
Garland,38759,39578,41069
Grant,36960,37800,39087
Greene,33499,34525,35770
Hempstead,30947,32057,32238
Hot Spring,29844,30468,31443
Howard,35236,36320,34762
Independence,34516,35059,36476
Izard,29243,30375,30923
Jackson,37078,37997,40703
Jefferson,34200,35034,36586
Johnson,28304,28736,28920
Lafayette,34787,35671,36524
Lawrence,33257,33455,34400
Lee,28826,28833,32099
Lincoln,25985,27134,28024
Little River,34061,34505,35383
Logan,33007,33810,33386
Lonoke,37818,39316,40749
Madison,35479,35084,34245
Marion,29545,30423,31405
Miller,32687,33695,35035
Mississippi,31520,33823,36882
Monroe,32773,33514,36710
Montgomery,28506,29366,29858
Nevada,32769,33601,34274
Newton,27377,28903,30096
Ouachita,35188,37197,38801
Perry,34504,35332,36248
Phillips,31626,32855,35438
Pike,31895,32659,32499
Poinsett,32340,33314,35558
Polk,29342,30599,30984
Pope,33811,34990,35464
Prairie,36266,37033,37330
Pulaski,49304,50248,51927
Randolph,32966,33530,34352
St. Francis,27104,27844,29154
Saline,40308,41340,42688
Scott,30378,31448,31159
Searcy,26825,27117,28143
Sebastian,40598,41416,42821
Sevier,31700,32860,32001
Sharp,32742,34049,34403
Stone,29772,30712,31593
Union,43413,43796,45261
Van Buren,29722,30393,31697
Washington,39145,39844,41005
White,34548,35831,37082
Woodruff,37437,37540,39902
Yell,32735,34031,33260
,,,
California,60549,63720,66619
Alameda,71947,77233,81171
Alpine,69500,72059,72155
Amador,43255,44282,45920
Butte,43164,44576,47860
Calaveras,47243,49227,51131
Colusa,44211,49962,51342
Contra Costa,77211,81442,85324
Del Norte,35993,36855,38445
El Dorado,64657,67215,69895
Fresno,41905,43438,45487
Glenn,43587,47124,49194
Humboldt,45815,47400,49654
Imperial,37060,37587,40447
Inyo,59558,58259,60513
Kern,38388,39794,41843
Kings,36494,36961,39433
Lake,40911,42632,44259
Lassen,35959,37010,38130
Los Angeles,59625,62300,65094
Madera,37967,39094,41267
Marin,125607,136066,141735
Mariposa,50945,53398,56354
Mendocino,47840,50478,52976
Merced,38329,39018,41077
Modoc,45825,47262,51088
Mono,51015,50437,53500
Monterey,54691,56634,59838
Napa,70649,72043,75717
